year,sockeye,area,source
1893,8290000,fraser,PSC
1894,4545000,fraser,PSC
1895,5515000,fraser,PSC
1896,4500000,fraser,PSC
1897,16865000,fraser,PSC
1898,5095000,fraser,PSC
1899,12155000,fraser,PSC
1900,4435000,fraser,PSC
1901,27595000,fraser,PSC
1902,7230000,fraser,PSC
1903,4300000,fraser,PSC
1904,2490000,fraser,PSC
1905,21920000,fraser,PSC
1906,4160000,fraser,PSC
1907,1805000,fraser,PSC
1908,2805000,fraser,PSC
1909,23120000,fraser,PSC
1910,4575000,fraser,PSC
1911,2230000,fraser,PSC
1912,3485000,fraser,PSC
1913,32335000,fraser,PSC
1914,5815000,fraser,PSC
1915,1855000,fraser,PSC
1916,1335000,fraser,PSC
1917,7180000,fraser,PSC
1918,840000,fraser,PSC
1919,1285000,fraser,PSC
1920,1215000,fraser,PSC
1921,1695000,fraser,PSC
1922,1110000,fraser,PSC
1923,885000,fraser,PSC
1924,1250000,fraser,PSC
1925,1890000,fraser,PSC
1926,1720000,fraser,PSC
1927,1980000,fraser,PSC
1928,1064000,fraser,PSC
1929,2281000,fraser,PSC
1930,4969000,fraser,PSC
1931,1715000,fraser,PSC
1932,1882000,fraser,PSC
1933,2637000,fraser,PSC
1934,5337000,fraser,PSC
1935,1933000,fraser,PSC
1936,3045000,fraser,PSC
1937,2628000,fraser,PSC
1938,3500000,fraser,PSC
1939,1458000,fraser,PSC
1940,2187000,fraser,PSC
1941,4303000,fraser,PSC
1942,8765000,fraser,PSC
1943,724000,fraser,PSC
1944,1574000,fraser,PSC
1945,1813000,fraser,PSC
1946,8211635,fraser,PSC
1947,674530,fraser,PSC
1948,2052047,fraser,PSC
1949,2471353,fraser,PSC
1950,2559148,fraser,PSC
1951,2802000,fraser,PSC
1952,2658297,fraser,PSC
1953,4558429,fraser,PSC
1954,9750506,fraser,PSC
1955,2339160,fraser,PSC
1956,1993946,fraser,PSC
1957,3739208,fraser,PSC
1958,14911630,fraser,PSC
1959,3820171,fraser,PSC
1960,2772457,fraser,PSC
1961,3463750,fraser,PSC
1962,1888300,fraser,PSC
1963,2383927,fraser,PSC
1964,1265455,fraser,PSC
1965,2314600,fraser,PSC
1966,3540563,fraser,PSC
1967,5449945,fraser,PSC
1968,2328956,fraser,PSC
1969,3934053,fraser,PSC
1970,4220455,fraser,PSC
1971,6948836,fraser,PSC
1972,2877985,fraser,PSC
1973,5697198,fraser,PSC
1974,6858691,fraser,PSC
1975,2677860,fraser,PSC
1976,3517362,fraser,PSC
1977,4773661,fraser,PSC
1978,6905826,fraser,PSC
1979,4990773,fraser,PSC
1980,2285223,fraser,PSC
1981,6298572,fraser,PSC
1982,9952512,fraser,PSC
1983,4265035,fraser,PSC
1984,4987654,fraser,PSC
1985,11739893,fraser,PSC
1986,12209994,fraser,PSC
1987,5755828,fraser,PSC
1988,2355252,fraser,PSC
1989,15486930,fraser,PSC
1990,15901111,fraser,PSC
1991,9049201,fraser,PSC
1992,4924845,fraser,PSC
1993,17850874,fraser,PSC
1994,13366013,fraser,PSC
1995,2269086,fraser,PSC
1996,2186683,fraser,PSC
1997,11426851,fraser,PSC
1998,3054000,fraser,PSC
1999,561000,fraser,PSC
2000,2463000,fraser,PSC
2001,1604000,fraser,PSC
2002,4223000,fraser,PSC
2003,2313102,fraser,PSC
2004,2339200,fraser,PSC
2005,1755300,fraser,PSC
2006,5439500,fraser,PSC
2007,376400,fraser,PSC
2008,573415,fraser,PSC
2009,123154,fraser,PSC
2010,13600648,fraser,PSC
2011,1763859,fraser,PSC
2012,662323,fraser,PSC
2013,577582,fraser,PSC
2014,11159322,fraser,PSC
2015,376481,fraser,PSC
2016,195157,fraser,PSC
2017,105850,fraser,PSC
2018,5891702,fraser,PSC
2019,17000,fraser,PSC
2020,15450,fraser,PSC
2021,73321,fraser,PSC
